Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
8,7,1,1s1,9s1,0.5,0,2S,860014.1825892504,860.0141825892504,True,28115158,O,-0.3950617283950617,-0.3954302732954837,-0.4199106693267822,-676.174129496788,-10.02861763437183,-666.1455118624161,-10750.177282365628
8,7,1,1s1,10s1,0.5,0,2S,862056.7162728999,862.0567162728998,True,28115158,O,-0.32,-0.3202695600002709,-0.32860657572746277,-234.19685637533436,-7.335101283839993,-226.86175509149436,-8707.64359871616
9,8,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,F,-40.5,-40.5437308495322,-40.19139099121094,8397.678937150686,-1189.9770374859554,9587.65597463664,-1102061.142962514
9,8,1,1s1,2s1,0.5,0,2S,826545.8572218855,826.5458572218855,True,28115158,F,-10.125,-10.138673476830911,-10.091714859008789,905.7348277640087,-372.0742593714999,1277.8090871355087,-275515.2857406285
9,8,1,1s1,3s1,0.5,0,2S,979609.904855568,979.609904855568,True,28115158,F,-4.5,-4.504841021029328,-4.4786834716796875,580.0522855475652,-131.73089305400478,711.7831786015701,-122451.238106946
9,8,1,1s1,4s1,0.5,0,2S,1033182.3215273569,1033.1823215273569,True,28115158,F,-2.53125,-2.53680986245887,-2.5036613941192627,750.7242106090788,-151.2915648428793,902.015775451958,-68878.82143515712
9,8,1,1s1,5s1,0.5,0,2S,1057978.6972440134,1057.9786972440133,True,28115158,F,-1.62,-1.6228983632361276,-1.6000083684921265,544.0000066482131,-78.8684814994362,622.8684881476494,-44082.44571850057
9,8,1,1s1,6s1,0.5,0,2S,1071448.3334357776,1071.4483334357776,True,28115158,F,-1.125,-1.1266972150130834,-1.0951670408248901,811.7961749747061,-46.183573263501906,857.979748238208,-30612.8095267365
9,8,1,1s1,7s1,0.5,0,2S,1079570.0992285851,1079.5700992285851,True,28115158,F,-0.826530612244898,-0.8276083657193454,-0.822655200958252,105.45531338298659,-29.32716607114335,134.78247945412994,-22491.04373392886
9,8,1,1s1,8s1,0.5,0,2S,1084841.4376037247,1084.8414376037247,True,28115158,F,-0.6328125,-0.633539006214421,-0.6368678212165833,-110.35091197599682,-19.769241210721827,-90.58167076527499,-17219.70535878928
9,8,1,1s1,9s1,0.5,0,2S,1088455.44983952,1088.45544983952,True,28115158,F,-0.5,-0.5005126999734554,-0.5332589149475098,-905.021180759152,-13.951277006002064,-891.0699037531499,-13605.693122994
9,8,1,1s1,10s1,0.5,0,2S,1091040.5315328888,1091.0405315328887,True,28115158,F,-0.405,-0.4053751911160486,-0.4184286892414093,-365.41324972533135,-10.209470374860581,-355.2037793504708,-11020.611429625142
10,9,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Ne,-50.0,-50.06669479034232,-49.5848274230957,11297.42134888498,-1814.8577006000012,13112.27904948498,-1360569.3122994
10,9,1,1s1,2s1,0.5,0,2S,1020426.98422455,1020.42698422455,True,28115158,Ne,-12.5,-12.520852885627379,-12.464460372924805,967.0825193815125,-567.435925150024,1534.5184445315365,-340142.32807485
10,9,1,1s1,3s1,0.5,0,2S,1209394.9442661332,1209.3949442661333,True,28115158,Ne,-5.555555555555555,-5.562943564564578,-5.526386260986328,793.7369410462424,-201.0379667333527,994.7749077795951,-151174.36803326666
10,9,1,1s1,4s1,0.5,0,2S,1275533.7302806876,1275.5337302806877,True,28115158,Ne,-3.125,-3.1325101495910608,-3.10797119140625,463.377487953531,-204.36158128750364,667.7390692410346,-85035.5820187125
10,9,1,1s1,5s1,0.5,0,2S,1306146.539807424,1306.146539807424,True,28115158,Ne,-2.0,-2.0039240965917253,-1.976831316947937,630.451983340562,-106.78010802400286,737.2320913645649,-54422.772491976
10,9,1,1s1,6s1,0.5,0,2S,1322775.7202910834,1322.7757202910834,True,28115158,Ne,-1.3888888888888888,-1.3911901678872187,-1.3612351417541504,752.4967944322519,-62.620991683334765,815.1177861155867,-37793.592008316664
10,9,1,1s1,7s1,0.5,0,2S,1332802.5916402284,1332.8025916402285,True,28115158,Ne,-1.0204081632653061,-1.0218710229839816,-1.0058043003082275,397.3913556085424,-39.80644082857462,437.19779643711706,-27766.720659171428
10,9,1,1s1,8s1,0.5,0,2S,1339310.416794722,1339.310416794722,True,28115158,Ne,-0.78125,-0.7822368551009905,-0.7617137432098389,531.6086293178803,-26.853695321876057,558.4623246397564,-21258.895504678127
10,9,1,1s1,9s1,0.5,0,2S,1343772.1602957037,1343.7721602957038,True,28115158,Ne,-0.6172839506172839,-0.6179807948034746,-0.645003616809845,-754.2905433756345,-18.962096303704907,-735.3284470719295,-16797.152003696294
10,9,1,1s1,10s1,0.5,0,2S,1346963.619176406,1346.963619176406,True,28115158,Ne,-0.5,-0.5005101789699541,-0.5254285335540771,-691.9456482090593,-13.88267700600103,-678.0629712030583,-13605.693122994
11,10,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Z11,-60.5,-60.59770844063919,-59.9313850402832,15472.801294100667,-2658.7821177261394,18131.583411826807,-1646288.867882274
11,10,1,1s1,2s1,0.5,0,2S,1234716.6509117056,1234.7166509117055,True,28115158,Z11,-15.125,-15.15554967585689,-15.073931694030762,1389.6393986572375,-831.2990294315487,2220.938428088786,-411572.2169705685
11,10,1,1s1,3s1,0.5,0,2S,1463367.8825620213,1463.3678825620214,True,28115158,Z11,-6.722222222222222,-6.733051647709164,-6.706447124481201,429.26227769913925,-294.6836797473222,723.9459574464614,-182920.98532025266
11,10,1,1s1,4s1,0.5,0,2S,1543395.813639632,1543.395813639632,True,28115158,Z11,-3.78125,-3.791202185269422,-3.7681565284729004,356.2915110247538,-270.8127573578799,627.1042683826337,-102893.05424264213
11,10,1,1s1,5s1,0.5,0,2S,1580437.313166983,1580.437313166983,True,28115158,Z11,-2.42,-2.425211112121491,-2.3974318504333496,614.1106347153485,-141.80158470904914,755.9122194243977,-65851.55471529096
11,10,1,1s1,6s1,0.5,0,2S,1600558.6215522108,1600.5586215522108,True,28115158,Z11,-1.6805555555555556,-1.6836157623816268,-1.662237286567688,498.4654927867687,-83.27246993683302,581.7379627236018,-45730.246330063164
11,10,1,1s1,7s1,0.5,0,2S,1612691.1358846766,1612.6911358846767,True,28115158,Z11,-1.2346938775510203,-1.2366410074004004,-1.2064197063446045,769.379393482974,-52.9841024025732,822.3634958855472,-33597.731997597424
11,10,1,1s1,8s1,0.5,0,2S,1620565.6043216134,1620.5656043216134,True,28115158,Z11,-0.9453125,-0.9466269659010066,-0.9194595813751221,703.4937542876503,-35.76843933947094,739.2621936271212,-25723.263560660533
11,10,1,1s1,9s1,0.5,0,2S,1625964.3139578016,1625.9643139578016,True,28115158,Z11,-0.7469135802469136,-0.747842253093605,-0.7525379061698914,-153.04570506347162,-25.270475527480965,-127.77522953599066,-20324.55392447252
11,10,1,1s1,10s1,0.5,0,2S,1629825.9792034514,1629.8259792034514,True,28115158,Z11,-0.605,-0.6056801976573314,-0.6373663544654846,-880.733372734861,-18.509121177261054,-862.2242515575999,-16462.88867882274
12,11,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Z12,-72.0,-72.1384777039582,-71.26063537597656,20119.136360921457,-3768.1702888642135,23887.30664978567,-1959219.809711136
12,11,1,1s1,2s1,0.5,0,2S,1469414.857283352,1469.414857283352,True,28115158,Z12,-18.0,-18.04329663919234,-17.914241790771484,2333.5997550813913,-1178.1615722159866,3511.7613272973776,-489804.952427784
12,11,1,1s1,3s1,0.5,0,2S,1741528.719743232,1741.528719743232,True,28115158,Z12,-8.0,-8.01535445597365,-7.982966423034668,463.50724195441404,-417.81603209601496,881.3232740504291,-217691.089967904
