#   Navg =  3.000E+00
# Lambda =  1.404E+00
#      A =  0.000E+00
#     ar =  1.621E+01
#     br =  1.088E+01
#     rb =  3.333E-07
#    rb1 =  3.333E-07
# r_core =  5.527E+00
#     nb = 0
# Mean configuration:
#  1 -1	 2.000E+00
#  2 -1	 3.333E-01
#  2  1	 3.333E-01
#  2 -2	 3.333E-01


  119 1.55458680E-02 -1.92977E+02 -1.90200E+02  3.04846E-01  4.79167E-02  3.83696E-02
  120 1.69069983E-02 -1.77441E+02 -1.74667E+02  3.06880E-01  5.21018E-02  4.50132E-02
  121 1.83816081E-02 -1.63207E+02 -1.60435E+02  3.09035E-01  5.66332E-02  5.27388E-02
  122 1.99784497E-02 -1.50162E+02 -1.47393E+02  3.11293E-01  6.15363E-02  6.17059E-02
  123 2.17068666E-02 -1.38205E+02 -1.35440E+02  3.13673E-01  6.68392E-02  7.20938E-02
  124 2.35768236E-02 -1.27244E+02 -1.24482E+02  3.16148E-01  7.25704E-02  8.41026E-02
  125 2.55989380E-02 -1.17192E+02 -1.14434E+02  3.18739E-01  7.87612E-02  9.79550E-02
  126 2.77845114E-02 -1.07974E+02 -1.05220E+02  3.21406E-01  8.54430E-02  1.13897E-01
  127 3.01455610E-02 -9.95171E+01 -9.67679E+01  3.24176E-01  9.26506E-02  1.32198E-01
  128 3.26948525E-02 -9.17576E+01 -8.90132E+01  3.26993E-01  1.00418E-01  1.53152E-01
  129 3.54459317E-02 -8.46359E+01 -8.18968E+01  3.29887E-01  1.08784E-01  1.77080E-01
  130 3.84131572E-02 -7.80982E+01 -7.53648E+01  3.32784E-01  1.17785E-01  2.04321E-01
  131 4.16117323E-02 -7.20951E+01 -6.93676E+01  3.35719E-01  1.27462E-01  2.35240E-01
  132 4.50577370E-02 -6.65812E+01 -6.38603E+01  3.38595E-01  1.37853E-01  2.70216E-01
  133 4.87681587E-02 -6.15155E+01 -5.88017E+01  3.41454E-01  1.49003E-01  3.09646E-01
  134 5.27609235E-02 -5.68603E+01 -5.41539E+01  3.44169E-01  1.60950E-01  3.53932E-01
  135 5.70549252E-02 -5.25809E+01 -4.98826E+01  3.46793E-01  1.73740E-01  4.03478E-01
  136 6.16700547E-02 -4.86460E+01 -4.59562E+01  3.49165E-01  1.87409E-01  4.58677E-01
  137 6.66272268E-02 -4.50266E+01 -4.23461E+01  3.51350E-01  2.02006E-01  5.19904E-01
  138 7.19484066E-02 -4.16965E+01 -3.90258E+01  3.53148E-01  2.17561E-01  5.87498E-01
  139 7.76566339E-02 -3.86316E+01 -3.59714E+01  3.54641E-01  2.34123E-01  6.61749E-01
  140 8.37760454E-02 -3.58098E+01 -3.31607E+01  3.55588E-01  2.51714E-01  7.42882E-01
  141 9.03318958E-02 -3.32109E+01 -3.05738E+01  3.56090E-01  2.70381E-01  8.31031E-01
  142 9.73505759E-02 -3.08165E+01 -2.81920E+01  3.55866E-01  2.90133E-01  9.26225E-01
  143 1.04859629E-01 -2.86097E+01 -2.59987E+01  3.55038E-01  3.11013E-01  1.02836E+00
  144 1.12887763E-01 -2.65751E+01 -2.39784E+01  3.53288E-01  3.33012E-01  1.13720E+00
  145 1.21464865E-01 -2.46985E+01 -2.21170E+01  3.50765E-01  3.56166E-01  1.25230E+00
  146 1.30622004E-01 -2.29670E+01 -2.04016E+01  3.47121E-01  3.80444E-01  1.37305E+00
  147 1.40391442E-01 -2.13688E+01 -1.88204E+01  3.42533E-01  4.05871E-01  1.49863E+00
  148 1.50806631E-01 -1.98930E+01 -1.73625E+01  3.36636E-01  4.32387E-01  1.62800E+00
  149 1.61902215E-01 -1.85297E+01 -1.60181E+01  3.29640E-01  4.60004E-01  1.75989E+00
