Z,ion_charge,nele,parent_config,level_config,J,parity,term,level_meV,level_eV,has_nist_level,parent_config_id,element,E_nist_hartree,E_fac_hartree,E_pinn_hartree,ΔE_PINN_meV,ΔE_FAC_meV,ΔE_PINN_FAC_meV,E_nist_meV
8,7,1,1s1,8s1,0.5,0,2S,857158.666748622,857.158666748622,True,28115158,O,-0.5,-0.5005225634915272,-0.4985465109348297,39.55145235666873,-14.219677005999785,53.77112936266852,-13605.693122994
8,7,1,1s1,9s1,0.5,0,2S,860014.1825892504,860.0141825892504,True,28115158,O,-0.3950617283950617,-0.3954302732954837,-0.39255422353744507,68.23268319429748,-10.02861763437183,78.26130082866932,-10750.177282365628
8,7,1,1s1,10s1,0.5,0,2S,862056.7162728999,862.0567162728998,True,28115158,O,-0.32,-0.3202695600002709,-0.31394127011299133,164.86643911550425,-7.335101283839993,172.20154039934425,-8707.64359871616
9,8,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,F,-40.5,-40.5437308495322,-40.205108642578125,8024.402627410341,-1189.9770374859554,9214.379664896296,-1102061.142962514
9,8,1,1s1,2s1,0.5,0,2S,826545.8572218855,826.5458572218855,True,28115158,F,-10.125,-10.138673476830911,-10.122708320617676,62.35977282439152,-372.0742593714999,434.43403219589146,-275515.2857406285
9,8,1,1s1,3s1,0.5,0,2S,979609.904855568,979.609904855568,True,28115158,F,-4.5,-4.504841021029328,-4.472231388092041,755.6224241424137,-131.73089305400478,887.3533171964185,-122451.238106946
9,8,1,1s1,4s1,0.5,0,2S,1033182.3215273569,1033.1823215273569,True,28115158,F,-2.53125,-2.53680986245887,-2.522721290588379,232.07800597941463,-151.2915648428793,383.36957082229395,-68878.82143515712
9,8,1,1s1,5s1,0.5,0,2S,1057978.6972440134,1057.9786972440133,True,28115158,F,-1.62,-1.6228983632361276,-1.6226732730865479,-72.7434664990552,-78.8684814994362,6.125015000380998,-44082.44571850057
9,8,1,1s1,6s1,0.5,0,2S,1071448.3334357776,1071.4483334357776,True,28115158,F,-1.125,-1.1266972150130834,-1.1172224283218384,211.63850699031295,-46.183573263501906,257.8220802538149,-30612.8095267365
9,8,1,1s1,7s1,0.5,0,2S,1079570.0992285851,1079.5700992285851,True,28115158,F,-0.826530612244898,-0.8276083657193454,-0.8287899494171143,-61.47969645309521,-29.32716607114335,-32.15253038195186,-22491.04373392886
9,8,1,1s1,8s1,0.5,0,2S,1084841.4376037247,1084.8414376037247,True,28115158,F,-0.6328125,-0.633539006214421,-0.6394651532173157,-181.02791625699155,-19.769241210721827,-161.25867504626973,-17219.70535878928
9,8,1,1s1,9s1,0.5,0,2S,1088455.44983952,1088.45544983952,True,28115158,F,-0.5,-0.5005126999734554,-0.5026816129684448,-72.97040624660254,-13.951277006002064,-59.01912924060048,-13605.693122994
9,8,1,1s1,10s1,0.5,0,2S,1091040.5315328888,1091.0405315328887,True,28115158,F,-0.405,-0.4053751911160486,-0.4061161279678345,-30.37138923269278,-10.209470374860581,-20.1619188578322,-11020.611429625142
10,9,1,1s1,1s1,0.5,0,2S,0.0,0.0,True,28115158,Ne,-50.0,-50.06669479034232,-49.59930419921875,10903.488202204055,-1814.8577006000012,12718.345902804054,-1360569.3122994
10,9,1,1s1,2s1,0.5,0,2S,1020426.98422455,1020.42698422455,True,28115158,Ne,-12.5,-12.520852885627379,-12.469775199890137,822.4587099972703,-567.435925150024,1389.8946351472944,-340142.32807485
